created_at,entry_id,field1
2024-11-25 14:08:41 UTC,397,20.20C
2024-11-25 14:13:41 UTC,398,20.22C
2024-11-25 14:18:41 UTC,399,20.23C
2024-11-25 14:23:41 UTC,400,20.26C
2024-11-25 14:28:41 UTC,401,20.30C
2024-11-25 14:33:41 UTC,402,20.38C
2024-11-25 14:38:42 UTC,403,20.42C
2024-11-25 14:43:42 UTC,404,20.46C
2024-11-25 14:48:42 UTC,405,20.32C
2024-11-25 14:53:42 UTC,406,20.00C
2024-11-25 14:58:42 UTC,407,19.83C
2024-11-25 15:03:42 UTC,408,19.66C
2024-11-25 15:08:42 UTC,409,19.40C
2024-11-25 15:13:42 UTC,410,19.26C
2024-11-25 15:18:42 UTC,411,19.19C
2024-11-25 15:23:42 UTC,412,19.07C
2024-11-25 15:28:42 UTC,413,19.32C
2024-11-25 15:33:42 UTC,414,19.53C
2024-11-25 15:38:42 UTC,415,19.77C
2024-11-25 15:43:42 UTC,416,19.95C
2024-11-25 15:48:42 UTC,417,20.11C
2024-11-25 15:53:42 UTC,418,20.24C
2024-11-25 15:58:42 UTC,419,20.35C
2024-11-25 16:03:42 UTC,420,20.48C
2024-11-25 16:08:42 UTC,421,20.63C
2024-11-25 16:13:43 UTC,422,20.75C
2024-11-25 16:18:43 UTC,423,20.81C
2024-11-25 16:23:43 UTC,424,20.87C
2024-11-25 16:28:43 UTC,425,20.93C
2024-11-25 16:33:43 UTC,426,20.89C
2024-11-25 16:38:43 UTC,427,20.90C
2024-11-25 16:43:43 UTC,428,20.88C
2024-11-25 16:48:43 UTC,429,20.86C
2024-11-25 16:53:43 UTC,430,20.86C
2024-11-25 16:58:43 UTC,431,20.87C
2024-11-25 17:03:43 UTC,432,20.87C
2024-11-25 17:08:43 UTC,433,20.87C
2024-11-25 17:13:43 UTC,434,20.85C
2024-11-25 17:18:43 UTC,435,20.87C
2024-11-25 17:23:43 UTC,436,20.87C
2024-11-25 17:28:43 UTC,437,20.86C
2024-11-25 17:33:43 UTC,438,20.88C
2024-11-25 17:38:43 UTC,439,20.88C
2024-11-25 17:43:43 UTC,440,20.90C
2024-11-25 17:48:44 UTC,441,20.91C
2024-11-25 17:53:44 UTC,442,20.94C
2024-11-25 17:58:44 UTC,443,20.95C
2024-11-25 18:03:44 UTC,444,20.98C
2024-11-25 18:08:44 UTC,445,21.02C
2024-11-25 18:13:44 UTC,446,21.03C
2024-11-25 18:18:44 UTC,447,21.40C
